"company","industry","employees"
"fort detrick campus (army national cancer institute and other tenants","army national cancer institute and tenants","9200"
"frederick county board of education","public education","5540"
"frederick memorial healthcare system","comprehensive health care","2295"
"bechtel corporation","headquarters - global engineering construction and telecommunications","2203"
"frederick county government","county government","2130"
"saic-frederick","medical research","1965"
"wells fargo home mortgage","mortgage loans &amp; service center","1500"
"frederick community college","two-year college","899"
"frederick city government","municipal government","852"
"united health care","insurance","832"
"state farm insurance co.","regional headquarters","793"
"wal-mart","consumer goods","700"
"national emergency training center (us fire academy fema and other tenants","federal government","577"
"wegman's","grocery store","550"
"mount saint mary's university","four-year college","511"
"home call","in-home medical services","480"
"nvr building products","wood building products","450"
"lonza bio science walkersville inc","biological products","400"
"hood college","four year college","418"
"plamondon companies","hospitality (hotels restaurants &amp; restaurant management)","396"
"rr donnelley","business documents","387"
"stulz air technology systems inc.","manufacturer commercial air conditioners and dehumidifiers","380"
"frederick county family ymca","recreation and sports center","350"
"home depot","retail stores","330"
"homewood retirement center","retirement community","275"
"richard f. kline","asphalt contractors","275"
"experient","conference services","270"
"canam steel corporation","steel joists and trusses","266"
"maryland school for the deaf","educational institution","266"
"trans-tech","ceramic components","260"
"toys-r-us","toy distribution warehouse &amp; retail store","260"
"fountain rock management group corp","restaurant management services","250"
"fannie mae","home loan products - data center","250"
"life technologies","biotech research","250"
"medimmune","biotech manufacturing","246"
"tyler companies","real estate hvac and mechanical contracting services","245"
"bb&amp;t","full service community bank","242"
"costco wholesale","wholesale general products","232"
"verizon","telecommunications","226"
"pnc bank","banking headquarters &amp; regional branches","226"
"tamko roofing products","asphalt shingle &amp; coating materials mfg","213"
